City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Barra Do Garcas,BR,-15.89,-52.2567,78.13,52,19,1.63,few clouds
309,Denpasar,ID,-8.65,115.2167,80.26,78,20,9.22,few clouds
310,Tura,IN,25.5198,90.2201,73.44,87,70,2.66,broken clouds
311,Vorotynets,RU,56.0603,45.8633,36.54,91,89,10.74,overcast clouds
312,Bay Roberts,CA,47.5999,-53.2648,62.02,94,85,5.99,overcast clouds
313,Granadilla De Abona,ES,28.1188,-16.576,75.16,83,20,17.27,few clouds
314,Leshukonskoye,RU,64.8989,45.7622,41.49,96,100,4.5,overcast clouds
315,Manggar,ID,-2.8833,108.2667,83.03,74,95,7.76,overcast clouds
316,Kudahuvadhoo,MV,2.6708,72.8944,82.29,76,100,16.78,light rain
317,Qasigiannguit,GL,68.8193,-51.1922,25.05,77,0,4.63,clear sky
318,Kiruna,SE,67.8557,20.2251,45.52,93,90,16.11,overcast clouds
319,Perth,AU,-31.9333,115.8333,61.03,76,20,10.36,few clouds
320,Ozernovskiy,RU,51.5,156.5167,49.15,84,57,4.12,broken clouds
321,Artyom,AZ,40.4723,50.333,66.34,66,4,15.1,clear sky
322,La Seyne-Sur-Mer,FR,43.0982,5.8847,71.89,57,38,10.49,scattered clouds
323,Bell Ville,AR,-32.6259,-62.6887,55.8,67,1,18.1,clear sky
324,Havre-Saint-Pierre,CA,50.2334,-63.5986,51.8,93,90,5.75,overcast clouds
325,Cockburn Town,TC,21.4612,-71.1419,83.23,71,3,7.54,clear sky
326,Kutum,SD,14.2,24.6667,77.74,51,89,3.49,overcast clouds
327,Asfi,MA,32.2994,-9.2372,67.39,84,22,12.44,few clouds
328,Santa Cruz,BO,-17.8,-63.1667,83.66,61,9,6.91,clear sky
329,Chumikan,RU,54.7183,135.315,48.79,84,92,9.08,overcast clouds
330,Mareeba,AU,-17.0,145.4333,79.48,62,85,8.52,overcast clouds
331,Segou,ML,13.4317,-6.2157,81.82,56,9,7.54,clear sky
332,Kaniama,CD,-7.5667,24.1833,67.14,90,99,6.64,light rain
333,Shakiso,ET,5.75,38.9167,58.95,85,94,1.34,overcast clouds
334,Lorengau,PG,-2.0226,147.2712,85.21,66,92,8.52,overcast clouds
